model,cost_bps,portfolio,ann_return,ann_vol,sharpe,max_drawdown,calmar,hit_ratio,n_periods
ridge,0,long_only,0.0524,0.3454,0.152,-0.6308,0.083,0.538,93
ridge,0,long_short,0.1459,0.1725,0.846,-0.182,0.802,0.613,93
ridge,5,long_only,0.0432,0.3453,0.125,-0.6392,0.068,0.538,93
ridge,5,long_short,0.1319,0.1725,0.764,-0.1844,0.715,0.602,93
ridge,10,long_only,0.0341,0.3452,0.099,-0.6474,0.053,0.538,93
ridge,10,long_short,0.118,0.1725,0.684,-0.1869,0.631,0.591,93
ridge,20,long_only,0.016,0.3451,0.046,-0.6633,0.024,0.527,93
ridge,20,long_short,0.0907,0.1724,0.526,-0.1917,0.473,0.548,93
lgbm,0,long_only,0.1025,0.34,0.301,-0.6474,0.158,0.559,93
lgbm,0,long_short,0.1796,0.1347,1.333,-0.1265,1.42,0.699,93
lgbm,5,long_only,0.0926,0.34,0.272,-0.6563,0.141,0.548,93
lgbm,5,long_short,0.1625,0.1348,1.205,-0.1298,1.251,0.656,93
lgbm,10,long_only,0.0828,0.3401,0.244,-0.665,0.125,0.538,93
lgbm,10,long_short,0.1455,0.1348,1.079,-0.1331,1.093,0.634,93
lgbm,20,long_only,0.0635,0.3401,0.187,-0.6817,0.093,0.538,93
lgbm,20,long_short,0.1123,0.1349,0.832,-0.1439,0.781,0.559,93
ranker,0,long_only,0.0481,0.3304,0.146,-0.6627,0.073,0.538,93
ranker,0,long_short,0.0708,0.213,0.332,-0.4912,0.144,0.505,93
ranker,5,long_only,0.0391,0.3304,0.118,-0.667,0.059,0.538,93
ranker,5,long_short,0.0606,0.213,0.285,-0.4964,0.122,0.505,93
ranker,10,long_only,0.0301,0.3304,0.091,-0.6712,0.045,0.538,93
ranker,10,long_short,0.0505,0.213,0.237,-0.5015,0.101,0.505,93
ranker,20,long_only,0.0124,0.3305,0.037,-0.6795,0.018,0.505,93
ranker,20,long_short,0.0306,0.213,0.144,-0.5116,0.06,0.505,93
