feature,importance_regressor
beta_252d,140
gross_profitability,132
turnover_20d,128
price_position_252d,128
sales_to_price,116
ma20_to_ma60,116
ret_120d,116
max_dd_60d,112
ret_5d,105
idio_vol_252d,105
earnings_yield,104
max_dd_252d,104
asset_growth,102
rv_20d,99
book_to_market,99
roa,99
close_to_ma20,98
ret_60d,97
rv_120d,92
vol_of_vol_126d,88
downside_vol_60d,88
roughness_x_momentum,87
ret_20d,86
amihud_20d,85
close_to_ma60,85
revenue_growth,82
ret_1d,81
idio_roughness_126d,78
skew_60d,76
mom_12_1,76
roe,74
roughness_x_illiquidity,73
dollar_vol_20d,71
rv_60d,68
debt_to_assets,64
debt_to_equity,63
vol_of_vol_60d,58
ret_252d,55
hurst_126d,51
hurst_252d,49
roughness_126d,22
roughness_252d,21
revenue_growth_missing,16
roe_missing,14
max_dd_252d_missing,6
sales_to_price_missing,3
debt_to_assets_missing,2
earnings_yield_missing,2
debt_to_equity_missing,2
roa_missing,1
asset_growth_missing,1
gross_profitability_missing,0
book_to_market_missing,0
hurst_252d_missing,0
hurst_126d_missing,0
roughness_126d_missing,0
roughness_252d_missing,0
vol_of_vol_60d_missing,0
vol_of_vol_126d_missing,0
idio_roughness_126d_missing,0
roughness_x_momentum_missing,0
dollar_vol_20d_missing,0
turnover_20d_missing,0
ret_1d_missing,0
amihud_20d_missing,0
skew_60d_missing,0
ret_5d_missing,0
ret_20d_missing,0
ret_60d_missing,0
ret_120d_missing,0
ret_252d_missing,0
mom_12_1_missing,0
close_to_ma20_missing,0
close_to_ma60_missing,0
ma20_to_ma60_missing,0
price_position_252d_missing,0
rv_20d_missing,0
rv_60d_missing,0
rv_120d_missing,0
downside_vol_60d_missing,0
beta_252d_missing,0
idio_vol_252d_missing,0
max_dd_60d_missing,0
roughness_x_illiquidity_missing,0
