year,model,ic_type,mean_ic,median_ic,std_ic,ic_ir,positive_ic_rate,n_rebalance_dates
2016,lgbm,pearson_ic,0.0033710429995332095,0.006497614414375739,0.03666749803236505,0.09193545184232953,0.5,12
2016,lgbm,spearman_rank_ic,0.019052057375741453,0.0022485871023248914,0.05922428912257523,0.32169330620938014,0.6666666666666666,12
2016,ranker,pearson_ic,0.039528950041586665,0.04419455445380915,0.10796101456135554,0.3661409648861894,0.75,12
2016,ranker,spearman_rank_ic,0.031051324488451548,0.05665794066057733,0.10679051044587617,0.290768574462326,0.75,12
2016,ridge,pearson_ic,0.01839398387957689,0.012974768670283665,0.04504078807780734,0.4083850364208001,0.75,12
2016,ridge,spearman_rank_ic,0.02632161565181872,0.0203336777206612,0.07084071618118232,0.3715605526135354,0.6666666666666666,12
2017,lgbm,pearson_ic,0.006760192239346052,0.004704285847955657,0.04899777486296022,0.13796937224707334,0.5833333333333334,12
2017,lgbm,spearman_rank_ic,0.024518605652395425,0.015657573492008983,0.08140522409438576,0.30119204172900726,0.5,12
2017,ranker,pearson_ic,0.0048031167825454135,0.011065792288433208,0.09066637247698205,0.05297572464107138,0.5,12
2017,ranker,spearman_rank_ic,-0.016703406566506117,-0.03537069180711666,0.10123349280188848,-0.16499881713253026,0.3333333333333333,12
2017,ridge,pearson_ic,0.003365822802542355,0.022836666767667768,0.07202818352886564,0.04672924732571502,0.5833333333333334,12
2017,ridge,spearman_rank_ic,-9.158711171682737e-06,0.003561607281270838,0.10118884662239608,-9.051107387220326e-05,0.5,12
2018,lgbm,pearson_ic,0.014970852586678761,0.008246381652537176,0.058690028038701325,0.25508341173063837,0.5833333333333334,12
2018,lgbm,spearman_rank_ic,-0.0025313783179059385,0.0021560021769140066,0.13828385608352767,-0.018305667701202292,0.5,12
2018,ranker,pearson_ic,-0.0002585307021308834,0.008704023656091438,0.11817841522379842,-0.0021876304707699385,0.5,12
2018,ranker,spearman_rank_ic,-0.02652632852125632,-0.007750368939012417,0.15017281136215704,-0.17663868899201318,0.5,12
2018,ridge,pearson_ic,0.03749440498050998,0.042441618492345304,0.06907215670860842,0.5428295099961324,0.75,12
